,Categories,year,Title,link
78,Mechanical engineering/Other special machines,2022,VERTICAL FARMING SYSTEM AND METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023075699A2
79,Mechanical engineering/Other special machines,2023,Vertical farming systems and methods,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=IL301594A
80,Mechanical engineering/Handling,2022,A SERVICE VEHICLE FOR AN AUTOMATED STORAGE AND RETRIEVAL SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023066849A1
81,Mechanical engineering/Other special machines,2022,A SERVICE VEHICLE FOR AN AUTOMATED STORAGE AND RETRIEVAL SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023066849A1
82,"Electrical engineering/Electrical machinery, apparatus, energy",2022,SYSTEM AND METHOD FOR REAL-TIME LIGHT MAPPING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023069362A1
83,Mechanical engineering/Other special machines,2022,SYSTEM AND METHOD FOR REAL-TIME LIGHT MAPPING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023069362A1
84,Instruments/Measurement,2022,SYSTEM AND METHOD FOR REAL-TIME LIGHT MAPPING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023122342A1
85,Mechanical engineering/Other special machines,2022,SYSTEM AND METHOD FOR REAL-TIME LIGHT MAPPING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023122342A1
86,Mechanical engineering/Handling,2021,A SERVICE VEHICLE FOR AN AUTOMATED STORAGE AND RETRIEVAL SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=NO20211250A1
87,Mechanical engineering/Other special machines,2021,A SERVICE VEHICLE FOR AN AUTOMATED STORAGE AND RETRIEVAL SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=NO20211250A1
88,Mechanical engineering/Other special machines,2019,VERTICAL GROW TOWER CONVEYANCE SYSTEM FOR CONTROLLED ENVIRONMENT AGRICULTURE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN112105256B
89,Mechanical engineering/Handling,2021,Storage grid for vertical farming,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=NO347003B1
90,Mechanical engineering/Other special machines,2021,Storage grid for vertical farming,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=NO347003B1
91,Mechanical engineering/Other special machines,2023,Vertical farming system and method using the same,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=IL300571A
92,Mechanical engineering/Other special machines,2022,VERTICAL FARMING WATERING SYSTEM AND METHODS OF MAKING AND USE THEREOF,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CA3224613A1
93,Mechanical engineering/Other special machines,2022,VERTICAL FARMING WATERING SYSTEM AND METHODS OF MAKING AND USE THEREOF,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023049277A1
94,Mechanical engineering/Other special machines,2022,STORAGE GRID FOR VERTICAL FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023046519A1
95,Mechanical engineering/Other special machines,2021,Vertical grow tower conveyance system for controlled environment agriculture,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11612112B2
96,Chemistry/Basic materials chemistry ,2022,BIOBASED MICRONUTRIENT COMPOSITIONS FOR AGRICULTURAL PROCESSES,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CA3231871A1
97,Mechanical engineering/Other special machines,2022,VERTICAL FARMING WATERING SYSTEM AND METHODS OF MAKING AND USE THEREFOR,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023092421A1
98,Chemistry/Basic materials chemistry ,2022,BIOBASED MICRONUTRIENT COMPOSITIONS FOR AGRICULTURAL PROCESSES,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023044168A1
99,Mechanical engineering/Other special machines,2022,CONTROLLER-OPERATED VERTICAL FARMING SYSTEM USING TRANSPORTABLE MODULES,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CA3230754A1
100,Mechanical engineering/Other special machines,2022,CONTROLLER-OPERATED VERTICAL FARMING SYSTEM USING TRANSPORTABLE MODULES,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023039061A1
